Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,22249.072266,22296.714844,21915.574219,22249.072266,17457.111328,920395
2011-07-26,22344.357422,22439.642578,21915.574219,22344.357422,17531.873047,964473
2011-07-27,22582.568359,22677.853516,22344.357422,22582.568359,17718.777344,2414333
2011-07-28,22392.000000,22582.568359,22392.000000,22392.000000,17569.253906,633362
2011-07-29,22392.000000,22582.568359,21963.216797,22392.000000,17569.253906,824368
2011-08-01,22392.000000,22582.568359,22201.429688,22392.000000,17569.253906,634936
2011-08-02,22106.144531,22392.000000,22106.144531,22106.144531,17344.966797,345804
2011-08-03,21820.289063,22106.144531,21725.003906,21820.289063,17120.679688,947682
2011-08-04,22106.144531,22153.787109,21629.718750,22106.144531,17344.966797,1178568
2011-08-05,20629.224609,21391.505859,20581.582031,20629.224609,16186.140625,2669882
2011-08-08,21248.578125,21343.863281,19438.160156,21248.578125,16672.101563,1034264
2011-08-09,20200.441406,20915.080078,18104.169922,20200.441406,15849.711914,2517707
2011-08-10,20200.441406,21105.650391,19962.228516,20200.441406,15849.711914,1932621
2011-08-11,20391.011719,20533.939453,20009.871094,20391.011719,15999.235352,1464027
2011-08-12,20343.369141,20772.152344,20009.871094,20343.369141,15961.855469,1567401
2011-08-15,20819.794922,20962.722656,20486.296875,20819.794922,16335.666992,681638
2011-08-16,20676.867188,20962.722656,20676.867188,20676.867188,16223.522461,745132
2011-08-18,21296.220703,21296.220703,20629.224609,21296.220703,16709.482422,821219
2011-08-19,20581.582031,20676.867188,20391.011719,20581.582031,16148.761719,2054885
2011-08-22,20581.582031,20724.509766,20105.156250,20581.582031,16148.761719,899406
2011-08-23,20533.939453,20581.582031,20200.441406,20533.939453,16111.380859,1292961
2011-08-24,20533.939453,20676.867188,20391.011719,20533.939453,16111.380859,266568
2011-08-25,20724.509766,20819.794922,20629.224609,20724.509766,16260.905273,635461
2011-08-26,20486.296875,20867.437500,20486.296875,20486.296875,16073.997070,312745
2011-09-05,20819.794922,20962.722656,20152.798828,20819.794922,16335.666992,692133
2011-09-06,21105.650391,21105.650391,20438.654297,21105.650391,16559.955078,268667
2011-09-07,21439.148438,21439.148438,21010.365234,21439.148438,16821.626953,606600
2011-09-08,21153.292969,21772.646484,21105.650391,21153.292969,16597.339844,574066
