Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,16300.000000,16400.000000,16100.000000,16300.000000,11656.090820,2600500
2011-07-26,16450.000000,16600.000000,16200.000000,16450.000000,11763.355469,4299000
2011-07-27,16400.000000,16400.000000,16300.000000,16400.000000,11727.602539,1501000
2011-07-28,15900.000000,16350.000000,15850.000000,15900.000000,11370.051758,11575000
2011-07-29,15450.000000,15900.000000,15300.000000,15450.000000,11048.257813,10229500
2011-08-01,15500.000000,15700.000000,15450.000000,15500.000000,11084.012695,3894500
2011-08-02,15250.000000,15500.000000,14950.000000,15250.000000,10905.238281,8188500
2011-08-03,14750.000000,15000.000000,14750.000000,14750.000000,10547.690430,12147500
2011-08-04,14600.000000,14850.000000,14350.000000,14600.000000,10440.425781,8162000
2011-08-05,13850.000000,14000.000000,13550.000000,13850.000000,9904.104492,7315000
2011-08-08,14500.000000,14750.000000,13400.000000,14500.000000,10368.915039,11459000
2011-08-09,14400.000000,14700.000000,13400.000000,14400.000000,10297.405273,10954500
2011-08-10,14800.000000,15100.000000,14550.000000,14800.000000,10583.444336,5565500
2011-08-11,14450.000000,14750.000000,14150.000000,14450.000000,10333.160156,5314000
2011-08-12,14500.000000,14800.000000,14450.000000,14500.000000,10368.915039,4005000
2011-08-15,15300.000000,15400.000000,14450.000000,15300.000000,10940.993164,7345000
2011-08-16,15000.000000,15700.000000,15000.000000,15000.000000,10726.465820,5092500
2011-08-18,15400.000000,15400.000000,15000.000000,15400.000000,11012.503906,4338000
2011-08-19,14600.000000,15100.000000,14250.000000,14600.000000,10440.425781,4189500
2011-08-22,15000.000000,15000.000000,14300.000000,15000.000000,10726.465820,987500
2011-08-23,15050.000000,15200.000000,14850.000000,15050.000000,10762.217773,1769500
2011-08-24,14800.000000,15200.000000,14800.000000,14800.000000,10583.444336,1944000
2011-08-25,14750.000000,15050.000000,14500.000000,14750.000000,10547.690430,1525000
2011-08-26,15200.000000,15200.000000,14600.000000,15200.000000,10869.483398,1632500
2011-09-05,15500.000000,15700.000000,15050.000000,15500.000000,11084.012695,6611000
2011-09-06,15600.000000,15850.000000,15100.000000,15600.000000,11155.522461,9387000
2011-09-07,15900.000000,15950.000000,15500.000000,15900.000000,11370.051758,5052000
2011-09-08,15600.000000,15900.000000,15550.000000,15600.000000,11155.522461,2343500
2011-09-09,15450.000000,15600.000000,15350.000000,15450.000000,11048.257813,1229500
2011-09-12,15000.000000,15100.000000,14850.000000,15000.000000,10726.465820,2588000
2011-09-13,14800.000000,15150.000000,14700.000000,14800.000000,10583.444336,712000
2011-09-14,14150.000000,14950.000000,14000.000000,14150.000000,10118.630859,3875000
2011-09-15,14100.000000,14350.000000,13850.000000,14100.000000,10082.875977,3882000
2011-09-16,14050.000000,14250.000000,13950.000000,14050.000000,10047.121094,3150000
2011-09-19,13350.000000,14050.000000,13300.000000,13350.000000,9546.552734,3278500
2011-09-20,13250.000000,13350.000000,12850.000000,13250.000000,9475.042969,6592000
2011-09-21,13200.000000,13400.000000,13000.000000,13200.000000,9439.287109,4688000
2011-09-22,11200.000000,13000.000000,11050.000000,11200.000000,8009.094727,5967000
2011-09-23,12500.000000,12500.000000,10700.000000,12500.000000,8938.719727,3935500
2011-09-26,11950.000000,12600.000000,11650.000000,11950.000000,8545.416016,3655000
2011-09-27,12850.000000,13150.000000,12400.000000,12850.000000,9189.004883,4928500
2011-09-28,13350.000000,13550.000000,12750.000000,13350.000000,9546.552734,5081500
2011-09-29,13900.000000,13950.000000,13000.000000,13900.000000,9939.856445,4016500
2011-09-30,14000.000000,14250.000000,13300.000000,14000.000000,10011.366211,4413000
2011-10-03,12700.000000,13600.000000,12500.000000,12700.000000,9081.740234,4083000
2011-10-04,12000.000000,12800.000000,12000.000000,12000.000000,8581.171875,4792000
2011-10-05,11800.000000,12150.000000,11700.000000,11800.000000,8438.151367,4853500
2011-10-06,13150.000000,13150.000000,12100.000000,13150.000000,9403.533203,4305500
2011-10-07,12850.000000,13600.000000,12850.000000,12850.000000,9189.004883,2891500
2011-10-10,12900.000000,13100.000000,12600.000000,12900.000000,9224.759766,805000
2011-10-11,13600.000000,13650.000000,13250.000000,13600.000000,9725.328125,3431000
2011-10-12,14700.000000,14700.000000,13600.000000,14700.000000,10511.935547,3656500
2011-10-13,14900.000000,15100.000000,14700.000000,14900.000000,10654.955078,3029500
2011-10-14,14800.000000,14950.000000,14650.000000,14800.000000,10583.444336,1877000
2011-10-17,14800.000000,15150.000000,14800.000000,14800.000000,10583.444336,1525000
2011-10-18,14300.000000,14650.000000,14150.000000,14300.000000,10225.895508,1389500
2011-10-19,14750.000000,14950.000000,14550.000000,14750.000000,10547.690430,2307500
2011-10-20,14300.000000,14800.000000,14000.000000,14300.000000,10225.895508,1674500
