Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,49300.000000,50200.000000,49150.000000,49300.000000,18822.693359,2261000
2011-07-26,51800.000000,51950.000000,49250.000000,51800.000000,19777.189453,4650000
2011-07-27,51650.000000,52000.000000,51200.000000,51650.000000,19719.919922,1229000
2011-07-28,51350.000000,51500.000000,51000.000000,51350.000000,19605.378906,1077000
2011-07-29,50500.000000,51700.000000,50500.000000,50500.000000,19280.853516,1490000
2011-08-01,50750.000000,51350.000000,50600.000000,50750.000000,19376.296875,472500
2011-08-02,50400.000000,50700.000000,49450.000000,50400.000000,19242.673828,1353000
2011-08-03,49000.000000,49500.000000,48300.000000,49000.000000,18708.154297,3704000
2011-08-04,48300.000000,49600.000000,48300.000000,48300.000000,18440.892578,3544500
2011-08-05,44750.000000,46300.000000,44200.000000,44750.000000,17085.509766,4224000
2011-08-08,44250.000000,44250.000000,42650.000000,44250.000000,16894.609375,3063000
2011-08-09,42800.000000,44800.000000,40000.000000,42800.000000,16340.997070,3246000
2011-08-10,44850.000000,45000.000000,44000.000000,44850.000000,17123.679688,2261000
2011-08-11,43950.000000,45900.000000,43700.000000,43950.000000,16780.066406,2424500
2011-08-12,44500.000000,45450.000000,44100.000000,44500.000000,16990.058594,1983000
2011-08-15,46500.000000,46500.000000,45000.000000,46500.000000,17753.654297,2201500
2011-08-16,45600.000000,47500.000000,45600.000000,45600.000000,17410.035156,1294000
2011-08-18,45650.000000,46200.000000,45250.000000,45650.000000,17429.125000,1636000
2011-08-19,43400.000000,45000.000000,42700.000000,43400.000000,16570.076172,3641000
2011-08-22,43000.000000,43400.000000,42600.000000,43000.000000,16417.359375,884000
2011-08-23,43300.000000,43750.000000,43000.000000,43300.000000,16531.896484,843000
2011-08-24,43300.000000,43600.000000,43250.000000,43300.000000,16531.896484,655500
2011-08-25,43250.000000,43550.000000,43250.000000,43250.000000,16512.806641,623500
2011-08-26,43150.000000,43350.000000,42950.000000,43150.000000,16474.628906,575000
2011-09-05,42550.000000,44000.000000,42500.000000,42550.000000,16245.549805,1845000
2011-09-06,44250.000000,44400.000000,42200.000000,44250.000000,16894.609375,1658000
2011-09-07,46650.000000,46650.000000,44500.000000,46650.000000,17810.919922,3171000
2011-09-08,46000.000000,47000.000000,45150.000000,46000.000000,17562.755859,1739500
2011-09-09,45800.000000,46500.000000,45400.000000,45800.000000,17486.396484,1227500
2011-09-12,44400.000000,45000.000000,44250.000000,44400.000000,16951.876953,1866000
2011-09-13,44700.000000,45150.000000,44200.000000,44700.000000,17066.414063,533000
2011-09-14,43950.000000,45150.000000,43500.000000,43950.000000,16780.066406,1623000
2011-09-15,43650.000000,44050.000000,43000.000000,43650.000000,16665.527344,2096000
2011-09-16,44550.000000,44850.000000,43600.000000,44550.000000,17009.148438,2669500
2011-09-19,44500.000000,45000.000000,44200.000000,44500.000000,16990.058594,674000
2011-09-20,44800.000000,45000.000000,43500.000000,44800.000000,17104.593750,1133500
2011-09-21,44000.000000,45000.000000,43700.000000,44000.000000,16799.156250,1061500
2011-09-22,38750.000000,42500.000000,38100.000000,38750.000000,14794.710938,2757000
2011-09-23,40650.000000,40950.000000,37500.000000,40650.000000,15520.128906,2019000
2011-09-26,38800.000000,40650.000000,38000.000000,38800.000000,14813.802734,1575500
2011-09-27,39900.000000,40500.000000,39700.000000,39900.000000,15233.779297,2811500
