Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,4180.000000,4230.000000,4160.000000,4180.000000,2369.082764,10995000
2011-07-26,4210.000000,4260.000000,4170.000000,4210.000000,2386.085449,21717500
2011-07-27,4300.000000,4310.000000,4210.000000,4300.000000,2437.094727,34452500
2011-07-28,4280.000000,4320.000000,4240.000000,4280.000000,2425.759033,16935000
2011-07-29,4260.000000,4280.000000,4200.000000,4260.000000,2414.424072,8630000
2011-08-01,4280.000000,4300.000000,4240.000000,4280.000000,2425.759033,7497500
2011-08-02,4280.000000,4280.000000,4240.000000,4280.000000,2425.759033,8802500
2011-08-03,4250.000000,4270.000000,4190.000000,4250.000000,2408.756348,11537500
2011-08-04,4170.000000,4270.000000,4140.000000,4170.000000,2363.415527,14095000
2011-08-05,3940.000000,4000.000000,3800.000000,3940.000000,2233.058838,33357500
2011-08-08,3870.000000,3880.000000,3700.000000,3870.000000,2193.385254,34512500
2011-08-09,3570.000000,3900.000000,3490.000000,3570.000000,2023.355469,39767500
2011-08-10,3740.000000,3850.000000,3680.000000,3740.000000,2119.705566,25465000
2011-08-11,3760.000000,3780.000000,3700.000000,3760.000000,2131.041016,22127500
2011-08-12,3770.000000,3830.000000,3740.000000,3770.000000,2136.708496,19000000
2011-08-15,3820.000000,3820.000000,3750.000000,3820.000000,2165.046875,7115000
2011-08-16,3820.000000,3850.000000,3800.000000,3820.000000,2165.046875,9827500
2011-08-18,3940.000000,3940.000000,3800.000000,3940.000000,2233.058838,11177500
2011-08-19,3760.000000,3870.000000,3710.000000,3760.000000,2131.041016,24187500
2011-08-22,3870.000000,3870.000000,3720.000000,3870.000000,2193.385254,8170000
2011-08-23,3920.000000,3930.000000,3800.000000,3920.000000,2221.723389,10432500
2011-08-24,3850.000000,3950.000000,3810.000000,3850.000000,2182.049805,7487500
2011-08-25,3860.000000,3900.000000,3810.000000,3860.000000,2187.717285,4787500
2011-08-26,3810.000000,3820.000000,3700.000000,3810.000000,2159.379395,8037500
2011-09-05,3840.000000,3930.000000,3780.000000,3840.000000,2176.382080,15357500
2011-09-06,3850.000000,3850.000000,3770.000000,3850.000000,2182.049805,5602500
2011-09-07,3930.000000,3930.000000,3860.000000,3930.000000,2227.391113,6775000
2011-09-08,3960.000000,3990.000000,3910.000000,3960.000000,2244.394531,6200000
2011-09-09,3940.000000,3990.000000,3900.000000,3940.000000,2233.058838,2432500
2011-09-12,3850.000000,3900.000000,3810.000000,3850.000000,2182.049805,4162500
2011-09-13,3760.000000,3850.000000,3750.000000,3760.000000,2131.041016,4677500
2011-09-14,3680.000000,3830.000000,3640.000000,3680.000000,2085.699707,11555000
2011-09-15,3560.000000,3700.000000,3510.000000,3560.000000,2017.687866,23035000
2011-09-16,3590.000000,3640.000000,3540.000000,3590.000000,2034.690430,11002500
2011-09-19,3520.000000,3580.000000,3480.000000,3520.000000,1995.016968,5770000
2011-09-20,3460.000000,3490.000000,3400.000000,3460.000000,1961.010864,12327500
2011-09-21,3420.000000,3460.000000,3390.000000,3420.000000,1938.340332,10377500
2011-09-22,3120.000000,3320.000000,3110.000000,3120.000000,1768.310669,14937500
2011-09-23,3150.000000,3160.000000,2900.000000,3150.000000,1785.313721,8567500
2011-09-26,2950.000000,3150.000000,2740.000000,2950.000000,1671.960449,19205000
2011-09-27,3090.000000,3140.000000,3040.000000,3090.000000,1751.307373,11705000
2011-09-28,3220.000000,3240.000000,3040.000000,3220.000000,1824.987183,12510000
2011-09-29,3260.000000,3280.000000,3140.000000,3260.000000,1847.657715,6600000
2011-09-30,3360.000000,3360.000000,3250.000000,3360.000000,1904.334106,13525000
2011-10-03,3140.000000,3360.000000,3110.000000,3140.000000,1779.645874,10682500
2011-10-04,2880.000000,3140.000000,2840.000000,2880.000000,1632.286743,14435000
2011-10-05,2790.000000,2960.000000,2760.000000,2790.000000,1581.277588,10500000
2011-10-06,2880.000000,2920.000000,2860.000000,2880.000000,1632.286743,23517500
2011-10-07,2800.000000,2990.000000,2800.000000,2800.000000,1586.945313,21002500
2011-10-10,2770.000000,2860.000000,2720.000000,2770.000000,1569.942627,18862500
2011-10-11,3020.000000,3040.000000,2860.000000,3020.000000,1711.633911,40300000
2011-10-12,3240.000000,3270.000000,3010.000000,3240.000000,1836.322144,29985000
2011-10-13,3480.000000,3520.000000,3190.000000,3480.000000,1972.346191,40370000
2011-10-14,3420.000000,3450.000000,3350.000000,3420.000000,1938.340332,18135000
2011-10-17,3550.000000,3550.000000,3490.000000,3550.000000,2012.019653,14802500
2011-10-18,3400.000000,3480.000000,3340.000000,3400.000000,1927.005127,12347500
2011-10-19,3480.000000,3500.000000,3440.000000,3480.000000,1972.346191,7210000
2011-10-20,3380.000000,3440.000000,3350.000000,3380.000000,1915.669922,11290000
2011-10-21,3360.000000,3390.000000,3340.000000,3360.000000,1904.334106,6240000
2011-10-24,3460.000000,3510.000000,3420.000000,3460.000000,1961.010864,14662500
2011-10-25,3470.000000,3530.000000,3470.000000,3470.000000,1966.678711,9305000
2011-10-26,3450.000000,3490.000000,3440.000000,3450.000000,1955.343628,8260000
2011-10-27,3640.000000,3660.000000,3500.000000,3640.000000,2063.028809,19945000
2011-10-28,3760.000000,3760.000000,3670.000000,3760.000000,2131.041016,19835000
2011-10-31,3670.000000,3760.000000,3650.000000,3670.000000,2080.031982,4692500
2011-11-01,3550.000000,3700.000000,3500.000000,3550.000000,2012.019653,6850000
2011-11-02,3640.000000,3660.000000,3460.000000,3640.000000,2063.028809,25917500
2011-11-03,3580.000000,3640.000000,3540.000000,3580.000000,2029.023438,7202500
2011-11-04,3630.000000,3680.000000,3580.000000,3630.000000,2057.361328,8865000
2011-11-07,3540.000000,3630.000000,3530.000000,3540.000000,2006.352173,8345000
2011-11-08,3610.000000,3610.000000,3560.000000,3610.000000,2046.026123,6787500
2011-11-09,3680.000000,3690.000000,3640.000000,3680.000000,2085.699707,10432500
2011-11-10,3550.000000,3590.000000,3530.000000,3550.000000,2012.019653,16225000
2011-11-11,3540.000000,3570.000000,3520.000000,3540.000000,2006.352173,10815000
2011-11-14,3590.000000,3590.000000,3570.000000,3590.000000,2034.690430,6525000
2011-11-15,3580.000000,3590.000000,3560.000000,3580.000000,2029.023438,7105000
2011-11-16,3550.000000,3580.000000,3510.000000,3550.000000,2012.019653,9747500
2011-11-17,3560.000000,3560.000000,3520.000000,3560.000000,2017.687866,3817500
2011-11-18,3570.000000,3570.000000,3500.000000,3570.000000,2023.355469,10000000
2011-11-21,3500.000000,3540.000000,3480.000000,3500.000000,1983.681885,8580000
2011-11-22,3520.000000,3540.000000,3480.000000,3520.000000,1995.016968,6455000
2011-11-23,3400.000000,3460.000000,3400.000000,3400.000000,1927.005127,7407500
2011-11-24,3370.000000,3430.000000,3360.000000,3370.000000,1910.002197,9282500
2011-11-25,3330.000000,3360.000000,3320.000000,3330.000000,1887.331421,6945000
2011-11-28,3350.000000,3390.000000,3300.000000,3350.000000,1898.666870,3952500
2011-11-29,3360.000000,3390.000000,3330.000000,3360.000000,1916.169800,5050000
2011-11-30,3400.000000,3400.000000,3340.000000,3400.000000,1938.981567,4835000
2011-12-01,3400.000000,3400.000000,3400.000000,3400.000000,1938.981567,0
2011-12-02,3520.000000,3520.000000,3390.000000,3520.000000,2007.416382,4795000
2011-12-05,3470.000000,3540.000000,3470.000000,3470.000000,1978.901855,2940000
2011-12-06,3440.000000,3490.000000,3400.000000,3440.000000,1961.793213,7477500
2011-12-07,3430.000000,3460.000000,3400.000000,3430.000000,1956.090210,12982500
2011-12-08,3410.000000,3440.000000,3370.000000,3410.000000,1944.684570,5845000
2011-12-09,3380.000000,3380.000000,3320.000000,3380.000000,1927.576050,5742500
2011-12-12,3440.000000,3440.000000,3400.000000,3440.000000,1961.793213,8182500
2011-12-13,3410.000000,3440.000000,3380.000000,3410.000000,1944.684570,6817500
2011-12-14,3380.000000,3410.000000,3360.000000,3380.000000,1927.576050,4035000
2011-12-15,3320.000000,3360.000000,3270.000000,3320.000000,1893.358276,9587500
2011-12-16,3330.000000,3360.000000,3280.000000,3330.000000,1899.061401,9992500
2011-12-19,3300.000000,3340.000000,3300.000000,3300.000000,1881.953125,4510000
2011-12-20,3300.000000,3340.000000,3240.000000,3300.000000,1881.953125,4015000
2011-12-21,3300.000000,3360.000000,3290.000000,3300.000000,1881.953125,5362500
2011-12-22,3400.000000,3400.000000,3290.000000,3400.000000,1938.981567,13352500
2011-12-23,3440.000000,3460.000000,3410.000000,3440.000000,1961.793213,13967500
2011-12-27,3470.000000,3480.000000,3410.000000,3470.000000,1978.901855,17155000
2011-12-28,3430.000000,3480.000000,3420.000000,3430.000000,1956.090210,5625000
2011-12-29,3460.000000,3460.000000,3400.000000,3460.000000,1973.198853,4867500
2011-12-30,3470.000000,3480.000000,3450.000000,3470.000000,1978.901855,7295000
2012-01-02,3470.000000,3480.000000,3460.000000,3470.000000,1978.901855,1365000
2012-01-03,3680.000000,3680.000000,3490.000000,3680.000000,2098.662598,20707500
2012-01-04,3670.000000,3740.000000,3670.000000,3670.000000,2092.959473,12210000
2012-01-05,3690.000000,3720.000000,3640.000000,3690.000000,2104.365479,11660000
2012-01-06,3630.000000,3700.000000,3580.000000,3630.000000,2070.147949,6925000
2012-01-09,3660.000000,3660.000000,3580.000000,3660.000000,2087.256592,3942500
2012-01-10,3810.000000,3820.000000,3660.000000,3810.000000,2172.800293,22605000
2012-01-11,3850.000000,3880.000000,3760.000000,3850.000000,2195.611572,22325000
2012-01-12,3870.000000,3890.000000,3830.000000,3870.000000,2207.017578,8592500
2012-01-13,3850.000000,3910.000000,3850.000000,3850.000000,2195.611572,15
2012-01-16,3880.000000,3940.000000,3840.000000,3880.000000,2212.720459,9560000
2012-01-17,3930.000000,3930.000000,3840.000000,3930.000000,2241.234375,12482500
2012-01-18,3910.000000,3930.000000,3900.000000,3910.000000,2229.829102,10702500
2012-01-19,3950.000000,3960.000000,3910.000000,3950.000000,2252.640625,16807500
2012-01-20,3950.000000,3980.000000,3920.000000,3950.000000,2252.640625,7472500
2012-01-24,3990.000000,4010.000000,3960.000000,3990.000000,2275.452148,16667500
2012-01-25,3940.000000,4010.000000,3940.000000,3940.000000,2246.937744,5650000
2012-01-26,4000.000000,4010.000000,3920.000000,4000.000000,2281.155029,4960000
2012-01-27,4030.000000,4050.000000,4010.000000,4030.000000,2298.263428,10402500
2012-01-30,4000.000000,4050.000000,3990.000000,4000.000000,2281.155029,9035000
2012-01-31,4030.000000,4050.000000,4000.000000,4030.000000,2298.263428,14007500
2012-02-01,4040.000000,4050.000000,4020.000000,4040.000000,2303.966553,5415000
2012-02-02,4050.000000,4070.000000,4030.000000,4050.000000,2309.669189,21612500
2012-02-03,4100.000000,4120.000000,4060.000000,4100.000000,2338.183838,24475000
2012-02-06,4060.000000,4160.000000,3980.000000,4060.000000,2315.372070,8615000
2012-02-07,4040.000000,4070.000000,4000.000000,4040.000000,2303.966553,7615000
2012-02-08,4140.000000,4150.000000,4020.000000,4140.000000,2360.995361,26432500
2012-02-09,4190.000000,4190.000000,4140.000000,4190.000000,2389.509766,34037500
2012-02-10,4190.000000,4230.000000,4170.000000,4190.000000,2389.509766,36977500
2012-02-13,4200.000000,4210.000000,4180.000000,4200.000000,2395.212158,13805000
2012-02-14,4190.000000,4210.000000,4190.000000,4190.000000,2389.509766,7445000
2012-02-15,4200.000000,4210.000000,4190.000000,4200.000000,2395.212158,19160000
2012-02-16,4190.000000,4200.000000,4100.000000,4190.000000,2389.509766,7670000
2012-02-17,4200.000000,4220.000000,4190.000000,4200.000000,2395.212158,9957500
2012-02-20,4150.000000,4210.000000,4130.000000,4150.000000,2366.697998,2902500
2012-02-21,4160.000000,4190.000000,4100.000000,4160.000000,2372.400879,7462500
2012-02-22,4200.000000,4200.000000,4160.000000,4200.000000,2395.212158,15750000
2012-02-23,4160.000000,4210.000000,4160.000000,4160.000000,2372.400879,10285000
2012-02-24,4150.000000,4200.000000,4130.000000,4150.000000,2366.697998,23482500
